,ann_return,ann_vol,sharpe,max_drawdown,terminal_value
AMAN_net,0.04384017791245243,0.10109803022532976,0.4244399644359681,-0.2524375883028551,2.271233117075723
AMAN_LSTM_net,0.040619020306642994,0.0961591307120245,0.41409373413907874,-0.23549466017104015,2.1466019565481895
AMAN_XGB_net,0.04351821256443533,0.09912507295023738,0.4297752326541875,-0.2524375883028537,2.265825691555755
AMAN_ENS_net,0.04186940222213087,0.09906134950236982,0.4140862215441087,-0.21757609125776856,2.1896376972611864
EW_net,0.05829647473578281,0.12993787059910172,0.43610754997082135,-0.38006028205984455,2.8480076873347935
60_40_net,0.04499673001007509,0.12015255218054496,0.36634760836918534,-0.3746578931968727,2.2226456502303984
