Date,AMAN_net,AMAN_LSTM_net,AMAN_XGB_net,AMAN_ENS_net,EW_net,60_40_net
2004-11-19,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-22,0.999920634920635,0.999920634920635,0.999920634920635,0.999920634920635,1.0037408775387948,1.0031222226345495
2004-11-23,0.9998412761400857,0.9998412761400857,0.9998412761400857,0.9998412761400857,1.0041325621639468,1.0042182460997018
2004-11-24,0.9997619236578522,0.9997619236578522,0.9997619236578522,0.9997619236578522,1.0094372979225443,1.0092423741761978
2004-11-25,0.9996825774734348,0.9996825774734348,0.9996825774734348,0.9996825774734348,1.0093571838512805,1.0091622755750727
2004-11-26,0.9996032375863337,0.9996032375863337,0.9996032375863337,0.9996032375863337,1.0102234285186904,1.0084170679016604
2004-11-29,0.9995239039960491,0.9995239039960491,0.9995239039960491,0.9995239039960491,1.0084159808595838,1.0049141463125293
2004-11-30,0.9994445767020811,0.9994445767020811,0.9994445767020811,0.9994445767020811,1.006785542633694,1.0043388653778738
2004-12-01,0.9993652557039301,0.9993652557039301,0.9993652557039301,0.9993652557039301,1.016039015019559,1.0128852629906455
2004-12-02,0.9992859410010964,0.9992859410010964,0.9992859410010964,0.9992859410010964,1.0116896801276374,1.0100118861707803
2004-12-03,0.9992066325930804,0.9992066325930804,0.9992066325930804,0.9992066325930804,1.019486587873173,1.0167807931658601
2004-12-06,0.9991273304793825,0.9991273304793825,0.9991273304793825,0.9991273304793825,1.0175259649254202,1.0170572857740747
2004-12-07,0.9990480346595032,0.9990480346595032,0.9990480346595032,0.9990480346595032,1.0115669075055125,1.011347289132002
2004-12-08,0.9989687451329429,0.9989687451329429,0.9989687451329429,0.9989687451329429,1.0096336270802793,1.0158457102390377
2004-12-09,0.9988894618992021,0.9988894618992021,0.9988894618992021,0.9988894618992021,1.0093753456148977,1.0161732453109888
2004-12-10,0.9988101849577816,0.9988101849577816,0.9988101849577816,0.9988101849577816,1.0079689784132575,1.0166450077224296
2004-12-13,0.9987309143081817,0.9987309143081817,0.9987309143081817,0.9987309143081817,1.0144435302467323,1.0203056789710423
2004-12-14,0.9986516499499033,0.9986516499499033,0.9986516499499033,0.9986516499499033,1.0136495500313618,1.0212911493103793
2004-12-15,0.998572391882447,0.998572391882447,0.998572391882447,0.998572391882447,1.0181205237456052,1.0238346669972078
2004-12-16,0.9984931401053133,0.9984931401053133,0.9984931401053133,0.9984931401053133,1.0117790795556083,1.0173307078521854
2004-12-17,0.9984138946180033,0.9984138946180033,0.9984138946180033,0.9984138946180033,1.0141624656622734,1.017089589714747
2004-12-20,0.9983346554200178,0.9983346554200178,0.9983346554200178,0.9983346554200178,1.0162038973812446,1.018684816367776
2004-12-21,0.9982554225108574,0.9982554225108574,0.9982554225108574,0.9982554225108574,1.020835540586594,1.0243696792552723
2004-12-22,0.9981761958900232,0.9981761958900232,0.9981761958900232,0.9981761958900232,1.0217181906040387,1.0258242912091664
2004-12-23,0.9980969755570159,0.9980969755570159,0.9980969755570159,0.9980969755570159,1.0223274582798763,1.0251595969988772
2004-12-24,0.9980177615113367,0.9980177615113367,0.9980177615113367,0.9980177615113367,1.0222463211800128,1.0250782351260996
