,ann_return,ann_vol,sharpe,max_drawdown,terminal_value,net_vs_gross_relative
AMAN_gross,0.08056261191956571,0.10277324769146642,0.754026529266147,-0.23838782582398965,4.769603616708487,
AMAN_net,0.06808261482540501,0.10277869376845859,0.6409275905994798,-0.24599465020637856,3.706334989637606,-0.22292599396438828
EW_gross,0.0930678566358174,0.13050260144367806,0.682009425028835,-0.37345731597748455,5.70814662556823,
60_40_gross,0.07606786302727575,0.12050215368720997,0.6084886676388059,-0.3567581837537156,4.162017597762979,
