feature,gain
f0,3.9471781253814697
f3,3.548917531967163
f6,3.4895811080932617
f5,3.3509373664855957
f7,3.3458073139190674
f1,3.343294858932495
f4,3.2460789680480957
f2,3.1304304599761963
