Date,EW_gross,60_40_gross
2004-11-19,0.9951213388948926,0.9922228735882784
2004-11-22,0.9989228767730683,0.9953994331907051
2004-11-23,0.9993922879135815,0.9965665155056754
2004-11-24,1.0058595598822604,1.0019595756775506
2004-11-25,1.0058595598822604,1.0019595756775506
2004-11-26,1.0069981567319555,1.001298802690789
2004-11-29,1.0052765016705583,0.9979001295249837
2004-11-30,1.0037311614233064,0.9974085188386721
2004-12-01,1.0144851488472602,1.0068786543145016
2004-12-02,1.010223187267416,1.0041024649750772
2004-12-03,1.0189500331740025,1.011880427758373
2004-12-06,1.0170711375262127,1.012304354519348
2004-12-07,1.011195614947532,1.0067015341016443
2004-12-08,1.009343198967505,1.0112591682058474
2004-12-09,1.0091650963892118,1.0116655755376907
2004-12-10,1.007839048040231,1.0122152960023398
2004-12-13,1.014392896331039,1.0167490558310879
2004-12-14,1.013679294824725,1.01805715696021
2004-12-15,1.018230659849328,1.021306919255693
2004-12-16,1.0119694575959621,1.014900283944419
2004-12-17,1.0144336414322588,1.014740402751087
2004-12-20,1.0165560762063568,1.016412442149312
2004-12-21,1.0216074305742144,1.0222988337977716
2004-12-22,1.022792378314239,1.0241940404327143
2004-12-23,1.023636026244009,1.023611919770112
2004-12-24,1.023636026244009,1.023611919770112
2004-12-27,1.0234016694219208,1.0215427688117613
2004-12-28,1.0261257542251465,1.0247433435604292
2004-12-29,1.0229195100218251,1.0244108820725384
2004-12-30,1.0251047484482796,1.0265746521628247
2004-12-31,1.0253840384458106,1.0272392622880724
2005-01-03,1.0173099579750449,1.023220377473803
2005-01-04,1.0052743330873413,1.011172386212366
2005-01-05,0.9970780889345496,1.0035941416833938
2005-01-06,0.9973861866010418,1.0065397041542665
2005-01-07,0.9941270148627702,1.0045652342498297
2005-01-10,0.9958311084832717,1.0057352077756263
2005-01-11,0.9936933041333327,1.0027331202491707
2005-01-12,0.9971445044992158,1.0046696801735922
2005-01-13,0.994628243387445,1.0029378738302768
2005-01-14,0.9976726220411338,1.0072086956482444
2005-01-17,0.9976726220411338,1.0072086956482444
2005-01-18,1.0017817035330405,1.0112862113830943
2005-01-19,0.9976301235279597,1.0075005560032677
2005-01-20,0.9947599648750335,1.0050037919024049
2005-01-21,0.997218716731034,1.0055565093630547
2005-01-24,0.9956931091805997,1.0038535324703075
2005-01-25,0.9893677092391583,0.9992139573612727
2005-01-26,0.993900195231662,1.001709447264478
2005-01-27,0.9924899174435412,1.0003115621054313
2005-01-28,0.9937049472765292,1.0022404816686183
2005-01-31,0.9935442743539596,1.0043554521359588
2005-02-01,0.996802457770572,1.0080812518453228
2005-02-02,1.0002108042517701,1.0112645433682226
2005-02-03,0.99660671123513,1.009591551081541
2005-02-04,1.002500716051608,1.0176220989713904
2005-02-07,0.999724461337818,1.0161892043658223
2005-02-08,1.0005823930019588,1.0172999685354762
2005-02-09,1.0010678304646319,1.0185412440084547
2005-02-10,1.0062740856774204,1.0203950306497998
2005-02-11,1.0113275003653566,1.0236445428084842
2005-02-14,1.0153034950345494,1.025645214465384
2005-02-15,1.0181545512336088,1.0280698355656508
2005-02-16,1.01665993152382,1.0261063421071563
2005-02-17,1.015837415344168,1.0238058207290686
2005-02-18,1.0144126796661328,1.0212405426519566
2005-02-21,1.0144126796661328,1.0212405426519566
2005-02-22,1.009023154965829,1.0119210535148853
2005-02-23,1.009278533600926,1.0130410966457517
2005-02-24,1.0103278662751614,1.014179823350796
2005-02-25,1.0186684431909885,1.022043834972322
2005-02-28,1.0151010300649626,1.0169980923732682
2005-03-01,1.0179185276515266,1.0212716873878471
2005-03-02,1.015048577923528,1.01822609559977
2005-03-03,1.014896809702244,1.0192712622716957
2005-03-04,1.0276393130380128,1.0310461072730346
2005-03-07,1.0283212817369245,1.0313515161020448
2005-03-08,1.0286290709283923,1.0280249459398731
2005-03-09,1.0179762034304924,1.0158580119429572
2005-03-10,1.0216731406558515,1.0190820389191662
2005-03-11,1.0181108436411546,1.0136136865446037
2005-03-14,1.0202255811170342,1.0180320567586596
2005-03-15,1.0167591017299245,1.0140432735942198
2005-03-16,1.0144624251669536,1.0110651331566105
2005-03-17,1.0153134382016,1.0149258541613828
2005-03-18,1.0133963487288935,1.0121759521689557
2005-03-21,1.0059635228853363,1.0081993502641236
2005-03-22,0.9944835482526913,0.9972774060373424
2005-03-23,0.9923673271136184,0.9966887613137021
2005-03-24,0.9929961314653835,0.9976294362053982
2005-03-25,0.9929961314653835,0.9976294362053982
2005-03-28,0.9923386057748707,0.9956140755555403
2005-03-29,0.9899494894937215,0.9939415417363171
2005-03-30,0.9976849190166325,1.0019291815278233
2005-03-31,0.9987304107681442,1.002978160757295
2005-04-01,0.9969549654333044,1.0025384678085134
2005-04-04,0.9953481991687664,1.001861638097257
2005-04-05,0.997159187927572,1.0034722842728667
2005-04-06,1.0009019402150139,1.0069882045807947
2005-04-07,1.0035672567339287,1.0091840535260639
2005-04-08,1.001340195788043,1.0065932184751356
2005-04-11,1.0034554612232394,1.0088974648131226
2005-04-12,1.009024421734991,1.015272809826189
2005-04-13,1.0051278491407099,1.0111640402140891
2005-04-14,0.9957206468041978,1.0050092793809235
2005-04-15,0.9937011159783009,1.0038515315232674
2005-04-18,0.9942203437017476,1.0025780422114428
2005-04-19,1.0033183785678357,1.0101387652256386
2005-04-20,0.9978998531946477,1.0040048905195336
2005-04-21,1.0029577037170796,1.0086297533983082
2005-04-22,1.0048270153094894,1.0104328801760687
2005-04-25,1.009632371524339,1.015032176419023
2005-04-26,1.0062432752534807,1.010594748174749
