,ann_return,ann_vol,sharpe,max_drawdown,terminal_value
AMAN_net,0.04384017791245243,0.10109803022532976,0.42443996443596804,-0.2524375883028551,2.271233117075723
EW_net,0.05829647473578281,0.12993787059910172,0.43610754997082135,-0.38006028205984455,2.8480076873347935
60_40_net,0.04499673001007509,0.12015255218054496,0.36634760836918534,-0.3746578931968727,2.2226456502303984
AMAN_gross,0.07704605620705163,0.10162178916816485,0.7304840111469993,-0.23838764683443736,4.476988166668062
EW_gross,0.09306786299438818,0.13050255518107373,0.6820097113892332,-0.37345689934919757,5.736132739209674
60_40_gross,0.07606787335104914,0.12050213000575725,0.6084888668608165,-0.35675788428713395,4.194640969897548
